Name,"Category
",abv,volume,brand,size,price,,
Fat Yak Pale Ale,Pale Ale,4.7,345,"Matilda Bay
",24,50,,
Red Hill Rip Pale Ale,Pale Ale,4.5,355,Red Hill,4,17,,
Hop Nation Heart Pale Ale,Pale Ale,4.6,375,Hop Nation,4,18,,
Coopers Original Pale Ale,Pale Ale,4.5,375,Coopers,24,51,,
Kosciuszko Pale Ale,Pale Ale,4.5,330,Kosciuszko,6,18,,
Colonial Pale Ale,Pale Ale,4.4,375,Colonial,6,22,,
Sierra Nevada Draight Style Pale Ale,Pale Ale,5,355,Sierra Nevada,4,17,,
Jetty Road Pale Ale,Pale Ale,4.8,375,Jetty Road,4,15,,
Quiet Deeds Double Time,Pale Ale,4.6,330,Quiet Deeds,6,22,,
"Monteiths Pale Ale
",Pale Ale,4.5,330,Monteiths,24,48,,
3 Pub Circus Pale Ale,Pale Ale,4.9,330,3 Pub Circus,6,14,,
Mountain Goat Pale Ale,Pale Ale,5.2,330,Mountain Goat,24,58,,
Green Beacon,Pale Ale,6,375,Green beacon,4,20,,
Bentspoke Barley Griffin Pale Ale,Pale Ale,4.2,375,Bentspoke,4,15,,
"Gipps St Pale Ale
",Pale Ale,5.2,355,Stomping Ground,6,22,,
Tinnies Pale Ale,Pale Ale,4.9,375,Tinnies,6,19,,
James Squire 150 lashes,Pale Ale,4.2,330,James Squire,10,30,,
"Monteiths Pointers Pale Ale
",Pale Ale,4.2,330,Monteiths,24,58,,
Sierra Nevada Pale Ale,Pale Ale,5.6,473,Sierra Nevada,4,24.5,,
Young Henrys ,Pale Ale,4.8,375,Young Henrys,24,62,,
Hop Tart Pale Ale,Pale Ale,4.6,330,Hop Tart,6,14,,
Singha Lager,Lager,5,330,Singha,24,46,,
XXXX Summer,Lager,4.2,330,XXXX,24,44,,
Kirin Megiumi Bottle,Lager,5,330,Kirin,24,45,,
Cantina Pura Cerveza ,Lager,4.6,355,Cantina ,24,40,,
Tsingtao,Lager,4.5,330,Tsingtao,24,57,,
Pirate Life Port Local ,Lager,4.5,355,Pirate Life,4,16,,
Crown,Lager,4.9,375,Crown,24,53,,
Byron Bay Pale Lager,Lager,4.4,355,Byron Bay,6,19.5,,
James Boags,Lager,4.6,375,James Boags,24,50,,
Peroni Nastro Azzurro Bottle,Lager,5.1,330,Peroni,24,45,,
Carlsberg Pilsner,Lager,4.8,330,Calsberg,24,40,,
Asahi Super Dry Cans,Lager,5,500,Asahi,24,65,,
Great Northern,Lager,4.2,330,Great Northern,24,46,,
Brick lane ,Lager,3,355,Brick lane,6,16,,
Cricketers Arms,Lager,4.6,330,Cricketers Arms,24,43,,
Mountain Goat Lage,Lager,4.2,375,Mountain Goat,24,48,,
Heineken ,Lager,5,330,Heineken,24,43,,"
"
Lorry Boys Bright Lager,Lager,4.4,330,Lorry Boys,24,39,,
Stella Artois,Lager,4.8,330,Stella Artois,24,47,,
Peroni Red ,Lager,4.7,330,Peroni,24,39,,
Black Hops,IPA,6,375,Black Hops,4,20,,
3 Ravens New World,IPA,5.8,375,3 Ravens,4,18,,
Bad Shepherd Hazy IPA,IPA,6,355,Bad Shepherd,4,15,,
Nomad Jet Lag,IPA,6,330,Nomad,4,18,,
Jetty Road IPA,IPA,5.8,375,Jetty Road,4,17,,
Stone IPA,IPA,6.9,355,Stone,12,56,,
Colonial IPA,IPA,6.5,375,Colonial,6,25,,
Two Birds IPA,IPA,5.8,330,Two Birds,4,16,,
"Brewdog Punk
",IPA,5.6,330,Brewdog,4,18,,
Yeastie Boy Raised on Robery ,IPA,5,330,"Yeastie Boys
",4,17,,
"Hop Stomper
",IPA,6,355,Stromping Ground,6,25,,
Monteiths Goldsmith Dry Cider,Cider,5,330,Monteiths,24,65,,
5 Seeds Apple Cider Can,Cider,5,330,5 Seeds,10,22,,
Newtons Crosp Apple Cider,Cider,4.5,330,Newtons,24,40,,
Mr Finch Crisp Apple,Cider,4.5,330,Mr Finch,24,45,,
Mr Finch Apple Cider,Cider,4.5,375,Mr Finch,10,19,,
Mercury Hard Cider,Cider,6.9,375,Mercury,10,27,,
Pure Blonde Cider,Cider,4.2,375,Pure Blonde,10,23,,
Orchard Thieves ,Cider,4.5,330,Orchard Thieves,12,20,,
Orchard Thieves ,Cider,4.5,330,Orchard Thieves,24,45,,
Strongbow Low Carb Cider,Cider,5,355,Strongbow,24,45,,
Mercury Hard Cider Bottles,Cider,6.9,355,Mercury,24,54,,
Fat Pixie Hard Cider,Cider,8,375,Fat Pixie,24,55,,
Strongbow Low Carb Cider Can,Cider,5,375,Strongbow,10,21,,
"Mercury Hard Cider Can
",Cider,6.9,375,Mercury,24,51,,
Steamrail Apple Cider,Cider,5,330,Steamrail,24,40,,
Three Oaks ,Cider,5,375,Three Oaks,10,23,,